A,E,H,F,B,G,C
M,843.0,255.0,328.0,0.55,0.1915,435.0
M,883.0,335.0,316.0,0.53,164.0,435.0
M,724.0,205.0,0.3105,0.53,0.1675,415.0
M,1.1735,345.0,0.4975,605.0,0.2405,0.47
F,727.0,235.0,291.0,0.52,0.1835,0.41
F,802.0,0.28,0.2935,545.0,183.0,0.43
F,0.6675,0.22,261.0,0.5,0.1315,0.4
F,0.6335,0.2,231.0,0.51,179.0,0.39
F,0.3635,0.13,136.0,435.0,98.0,395.0
M,0.5415,155.0,0.2375,495.0,0.1345,395.0
M,431.0,175.0,172.0,465.0,107.0,0.36
I,0.3325,105.0,0.1485,435.0,0.0635,0.32
M,393.0,165.0,0.13,425.0,63.0,0.35
F,0.6935,0.21,0.2975,545.0,146.0,0.41
F,0.5915,0.18,233.0,0.53,0.1585,415.0
F,0.6125,0.22,0.2555,0.49,102.0,375.0
M,402.0,165.0,0.1305,0.44,0.0955,0.34
F,0.8825,0.31,0.3465,0.56,172.0,0.43
M,0.2605,85.0,0.1145,405.0,0.0595,305.0
F,0.4205,0.14,163.0,0.47,0.1035,365.0
I,0.2535,85.0,103.0,385.0,0.0575,295.0
F,766.0,255.0,304.0,515.0,0.1725,425.0
M,214.0,0.07,0.09,0.37,51.0,265.0
I,0.1755,0.07,81.0,0.36,0.0505,0.28
I,73.0,0.03,0.0285,0.27,0.0235,195.0
I,238.0,0.07,0.1075,375.0,0.0545,275.0
I,0.2505,0.08,112.0,385.0,61.0,0.29
M,1.7255,0.54,0.63,0.7,0.2635,535.0
M,1959.0,0.78,0.7665,0.71,261.0,0.54
M,1262.0,0.41,0.4835,595.0,283.0,0.48
F,0.4035,129.0,175.0,0.44,63.0,0.35
F,0.1915,62.0,85.0,325.0,36.0,0.26
I,211.0,68.0,86.0,0.35,56.0,0.26
I,0.0975,28.0,0.04,265.0,0.0205,0.2
F,406.0,0.1355,0.1635,425.0,81.0,0.33
F,156.0,48.0,0.0675,305.0,0.0345,0.23
M,0.2005,63.0,94.0,345.0,0.0295,255.0
F,0.3555,117.0,151.0,405.0,63.0,325.0
M,253.0,0.0925,96.0,375.0,0.0575,285.0
F,826.0,0.2475,341.0,565.0,0.2055,445.0
F,741.0,0.2665,295.0,0.55,0.1435,0.45
M,1.3445,0.4465,519.0,0.65,306.0,0.52
M,797.0,0.2425,0.34,0.56,0.19,455.0
M,0.5175,0.17,0.2075,475.0,0.1165,375.0
F,549.0,174.0,245.0,0.49,0.1075,0.38
M,515.0,0.1565,224.0,0.46,108.0,0.35
I,127.0,42.0,52.0,0.28,39.0,205.0
I,0.0315,0.0125,0.0105,175.0,0.0065,0.13
I,0.03,0.01,13.0,0.17,8.0,0.13
M,1053.0,325.0,0.4415,0.59,262.0,475.0
F,1.1185,335.0,469.0,605.0,0.2585,0.5
F,1.3715,0.45,0.5065,635.0,305.0,515.0
F,1.0565,355.0,0.37,605.0,0.2355,485.0
F,0.9885,0.31,387.0,565.0,0.1495,0.45
M,722.0,0.21,0.32,515.0,131.0,405.0
F,994.0,0.34,392.0,575.0,0.2425,0.46
M,1514.0,635.0,546.0,645.0,0.2615,485.0
F,0.9075,285.0,374.0,0.58,0.2135,455.0
F,1124.0,0.44,0.2985,575.0,0.1785,0.46
M,1056.0,0.34,0.4215,605.0,0.2475,465.0
F,1222.0,0.28,0.53,605.0,0.2575,485.0
M,1.2445,345.0,544.0,0.61,297.0,485.0
F,2141.0,1005.0,0.65,725.0,398.0,0.56
F,1752.0,815.0,0.5605,0.65,0.2895,545.0
M,2.55,725.0,1.0705,725.0,483.0,0.57
F,2124.0,0.85,765.0,725.0,0.4515,575.0
F,1842.0,0.65,625.0,0.68,408.0,0.57
M,1981.0,0.76,0.8175,705.0,0.3085,0.56
F,1.6185,0.62,0.5125,0.68,409.0,515.0
M,1.9565,0.59,0.7125,695.0,541.0,0.55
F,775.0,255.0,308.0,0.53,169.0,395.0
M,1065.0,285.0,486.0,525.0,233.0,435.0
F,776.0,0.22,0.32,0.52,0.1845,405.0
I,48.0,15.0,0.0185,235.0,18.0,0.16
I,0.1785,75.0,0.0645,0.36,37.0,0.26
I,125.0,35.0,0.06,315.0,0.0375,0.21
I,0.1435,0.05,53.0,315.0,0.0475,245.0
I,0.0465,15.0,25.0,225.0,15.0,0.16
M,0.97,0.35,385.0,0.58,0.2165,475.0
M,0.9395,295.0,399.0,0.57,0.2,0.48
M,1368.0,0.57,515.0,0.64,266.0,0.51
F,1.0235,0.3,429.0,0.56,268.0,0.45
F,1.0165,325.0,0.4355,0.62,214.0,475.0
F,1.5675,0.46,621.0,645.0,367.0,0.51
M,1218.0,355.0,0.5455,0.62,0.2965,0.49
F,1.0525,285.0,392.0,0.63,336.0,0.48
F,1383.0,0.38,0.54,0.63,0.3315,0.5
F,1199.0,315.0,0.5265,0.63,335.0,0.48
F,0.9325,0.29,365.0,585.0,271.0,0.46
M,1.1595,325.0,0.4845,615.0,0.2165,0.48
M,1.0225,0.36,419.0,0.61,0.2405,485.0
M,927.0,0.36,276.0,0.58,0.1815,0.45
I,0.22,0.15,92.0,355.0,0.06,275.0
F,0.8145,195.0,459.0,0.51,0.1965,0.4
M,772.0,245.0,346.0,0.5,0.1535,405.0
F,644.0,0.21,285.0,505.0,145.0,0.41
M,1.3035,465.0,0.4445,0.64,0.2635,0.5
M,922.0,0.26,432.0,0.56,178.0,0.45
M,922.0,285.0,0.3635,585.0,213.0,0.46
F,0.4165,135.0,0.1655,0.45,95.0,345.0
M,825.0,285.0,254.0,0.5,205.0,0.4
F,0.63,0.23,234.0,0.5,0.1465,0.4
F,0.8155,275.0,0.2985,0.53,155.0,435.0
M,369.0,0.12,171.0,0.42,71.0,335.0
F,482.0,0.16,186.0,0.44,0.1085,0.34
I,315.0,0.12,109.0,0.4,67.0,0.3
I,0.3795,0.12,0.1495,435.0,85.0,0.34
F,0.8325,0.31,0.2755,525.0,0.1685,415.0
I,0.2655,0.08,122.0,0.37,52.0,0.28
F,0.6345,0.22,0.1995,0.49,0.1625,365.0
M,181.0,0.06,0.0755,335.0,0.0415,0.25
F,0.38,0.12,0.1595,415.0,0.0785,325.0
M,0.6155,205.0,241.0,0.5,0.1355,405.0
F,0.66,235.0,0.2475,485.0,128.0,395.0
M,0.8025,255.0,244.0,0.55,0.1635,405.0
M,0.46,135.0,174.0,0.45,111.0,0.35
I,324.0,0.11,0.1265,405.0,0.07,0.3
M,501.0,165.0,0.1665,0.47,115.0,0.36
F,0.32,105.0,0.1305,415.0,0.0755,305.0
F,455.0,0.14,0.1785,445.0,0.1125,325.0
F,0.5175,0.18,187.0,0.47,0.1235,0.35
F,0.5755,0.19,0.22,0.49,144.0,375.0
F,485.0,155.0,181.0,445.0,125.0,355.0
I,0.3265,0.1,0.1285,425.0,0.0785,0.38
F,0.45,155.0,0.1715,0.5,0.1055,0.37
F,0.3055,0.09,121.0,0.39,82.0,0.29
I,205.0,0.07,78.0,365.0,0.0485,0.27
F,1.1015,0.35,404.0,0.58,0.2095,465.0
F,783.0,245.0,0.2935,0.53,158.0,415.0
M,836.0,275.0,336.0,555.0,0.1625,445.0
M,0.9025,325.0,0.31,565.0,193.0,0.44
M,1.4455,435.0,496.0,625.0,287.0,505.0
I,0.1155,35.0,0.0485,275.0,29.0,215.0
I,435.0,125.0,0.1815,0.44,83.0,0.35
I,124.0,0.04,0.0485,295.0,32.0,225.0
I,2.0,0.0015,1.0,75.0,0.0005,55.0
I,13.0,4.0,0.0045,0.13,3.0,0.1
I,8.0,3.0,0.0025,0.11,2.0,0.09
I,21.0,5.0,0.0075,0.16,0.0045,0.12
M,0.9425,275.0,0.3495,565.0,0.2185,425.0
I,0.1,35.0,34.0,0.27,0.0245,0.2
I,0.0645,0.02,26.0,0.23,0.0105,175.0
I,0.1275,0.04,0.0435,0.3,0.0265,0.23
I,0.1655,0.06,63.0,0.33,39.0,255.0
I,174.0,0.06,0.0705,0.35,0.0345,0.26
I,0.1585,0.05,0.0635,0.32,0.0325,245.0
I,0.1975,0.07,0.0745,0.36,0.0415,275.0
I,156.0,45.0,0.0675,305.0,38.0,245.0
I,0.2135,0.07,82.0,345.0,0.0545,0.27
I,0.1715,0.06,0.0655,0.33,35.0,0.25
M,1.1235,0.36,0.4205,0.59,0.2805,0.47
F,1.0605,0.3,0.5135,595.0,0.2165,455.0
F,1094.0,345.0,0.4485,575.0,217.0,0.46
M,1.2415,0.34,485.0,0.6,0.2775,495.0
M,1011.0,0.37,0.3835,0.56,0.2065,0.45
M,1.07,0.41,0.3805,0.56,175.0,0.45
M,0.8975,345.0,341.0,545.0,0.1655,0.46
F,1415.0,365.0,605.0,635.0,297.0,505.0
F,1.1015,295.0,0.4775,0.59,0.2555,475.0
F,928.0,0.26,394.0,0.54,194.0,475.0
F,865.0,0.27,0.3675,0.57,0.1725,0.44
M,0.8945,245.0,319.0,0.53,239.0,0.42
I,95.0,26.0,0.0445,245.0,0.0245,195.0
M,0.1205,0.04,0.0465,0.27,28.0,0.2
F,639.0,0.16,0.3,0.46,0.1525,0.38
M,895.0,235.0,0.3615,0.52,186.0,0.45
M,0.2925,0.0905,0.1225,0.35,0.0635,275.0
M,0.6355,255.0,0.2185,0.47,0.0885,0.39
F,0.4995,0.17,0.2035,0.45,0.1,0.36
F,1779.0,0.55,0.4535,0.64,0.2855,525.0
M,1187.0,0.37,412.0,0.59,0.2705,0.5
M,1219.0,385.0,0.3875,0.62,0.2505,485.0
M,1525.0,0.45,0.56,0.63,0.3335,505.0
M,1259.0,0.41,0.4105,0.63,197.0,515.0
M,1844.0,585.0,0.7425,655.0,327.0,0.54
F,1.3485,0.49,493.0,0.66,245.0,0.53
M,1642.0,0.69,532.0,0.61,0.3345,0.5
M,1484.0,0.43,0.55,635.0,0.3115,525.0
F,712.0,0.25,0.2665,515.0,0.1605,425.0
F,0.8415,0.3,314.0,535.0,0.1585,415.0
I,0.2415,75.0,0.0915,0.36,57.0,285.0
F,0.4495,0.15,177.0,455.0,104.0,355.0
M,0.6295,225.0,0.2285,485.0,127.0,395.0
M,0.9565,0.31,325.0,515.0,158.0,0.38
F,879.0,285.0,295.0,535.0,0.1965,415.0
M,699.0,205.0,288.0,0.53,0.1595,435.0
F,0.6445,205.0,242.0,495.0,0.1325,0.4
M,0.4775,0.19,132.0,0.44,0.0815,355.0
F,0.8105,0.24,0.3155,535.0,0.1795,435.0
M,996.0,325.0,0.3835,0.54,226.0,435.0
F,1.2765,355.0,501.0,565.0,279.0,505.0
M,1116.0,315.0,428.0,0.61,0.2205,475.0
F,1013.0,0.35,342.0,565.0,207.0,455.0
M,1.0575,375.0,384.0,0.6,0.19,495.0
I,128.0,0.04,49.0,295.0,34.0,215.0
I,0.1105,35.0,45.0,275.0,0.0285,205.0
I,0.1065,0.03,39.0,0.28,0.0295,0.21
M,549.0,0.15,0.2215,0.49,0.1275,395.0
M,234.0,75.0,0.0905,0.37,0.0585,0.28
F,0.3485,0.1,0.1455,405.0,0.0895,305.0
F,892.0,335.0,322.0,0.54,174.0,435.0
M,252.0,74.0,0.1065,0.37,0.0595,0.28
M,217.0,0.0715,0.0885,0.36,0.0495,0.27
F,472.0,0.15,182.0,0.47,114.0,0.36
I,37.0,11.0,0.0125,0.2,0.0095,145.0
I,0.0215,5.0,7.0,165.0,5.0,0.12
M,1.5415,535.0,471.0,645.0,369.0,515.0
M,0.7605,195.0,0.2505,0.55,0.1635,0.41
M,0.9055,275.0,0.3925,0.57,0.2355,435.0
F,1.2435,0.39,0.4635,0.63,0.3055,485.0
M,971.0,265.0,443.0,0.56,0.2045,0.44
M,1.3305,345.0,0.4595,595.0,0.3235,455.0
F,1.2255,435.0,381.0,0.62,0.27,0.47
M,1.3,0.46,0.4335,0.63,0.2945,485.0
I,0.4585,0.14,194.0,0.45,67.0,355.0
F,1242.0,0.39,576.0,635.0,0.2475,535.0
M,0.3675,0.12,0.1465,0.45,0.1015,0.35
F,0.8365,0.32,315.0,0.58,0.1385,455.0
I,172.0,0.06,66.0,0.33,0.0255,255.0
I,0.0965,0.03,0.0425,265.0,22.0,0.21
I,38.0,15.0,0.0165,0.19,0.0065,145.0
M,0.2845,0.1,0.1065,385.0,75.0,0.31
I,0.1055,35.0,39.0,265.0,41.0,205.0
M,222.0,75.0,0.0935,335.0,56.0,265.0
I,251.0,0.08,97.0,355.0,53.0,275.0
I,0.1755,65.0,73.0,0.32,0.0415,255.0
M,0.6435,205.0,0.27,0.51,0.1665,0.4
M,241.0,95.0,0.0865,0.36,53.0,295.0
I,0.2255,0.09,0.0885,0.36,0.04,0.28
M,0.5955,0.2,0.2135,0.5,161.0,0.38
F,0.3185,95.0,134.0,0.4,0.0565,325.0
I,121.0,35.0,0.0475,0.3,42.0,0.22
I,0.0705,0.02,0.0335,235.0,15.0,175.0
F,1974.0,0.71,598.0,0.74,0.4085,0.6
M,1.3415,355.0,0.5705,0.62,0.3175,465.0
M,1.0875,325.0,403.0,0.6,0.2655,475.0
M,1283.0,425.0,473.0,0.59,276.0,0.45
M,1325.0,0.33,0.6045,0.62,325.0,475.0
F,1.0035,285.0,406.0,565.0,0.2505,0.45
M,1165.0,0.3,581.0,575.0,0.2275,455.0
F,1.3475,0.48,0.4775,0.62,0.2565,0.51
M,1274.0,0.32,579.0,0.62,0.3065,465.0
F,568.0,0.17,0.2325,505.0,0.1495,375.0
F,746.0,0.24,0.3005,0.46,152.0,425.0
M,707.0,0.18,0.2795,0.49,0.2185,0.39
F,756.0,275.0,0.2745,525.0,173.0,0.42
I,0.2,55.0,0.08,0.34,0.0555,0.26
I,0.2715,0.09,92.0,375.0,74.0,305.0
M,1.2,0.28,0.56,0.61,0.2455,0.48
F,1153.0,245.0,536.0,0.61,0.2905,495.0
F,0.8685,0.27,0.3325,585.0,0.1635,0.45
M,0.9535,245.0,0.4465,0.57,0.2065,0.46
M,0.93,0.22,408.0,0.58,259.0,455.0
M,1275.0,0.34,509.0,635.0,286.0,515.0
M,2.13,0.58,0.7415,0.7,0.49,0.58
M,1587.0,395.0,0.6935,675.0,336.0,525.0
F,1.8085,395.0,0.7035,645.0,0.3885,525.0
M,2499.0,0.7,0.9265,745.0,472.0,585.0
F,1768.0,485.0,0.7495,685.0,392.0,545.0
M,1227.0,0.35,0.48,605.0,287.0,0.49
F,997.0,0.34,392.0,0.59,246.0,465.0
F,1.4225,445.0,0.61,0.65,0.2995,525.0
F,1029.0,295.0,0.4085,0.6,0.2705,0.48
F,1186.0,0.35,0.4985,0.62,0.3015,0.5
M,1016.0,355.0,0.4215,0.63,244.0,515.0
M,887.0,265.0,0.4405,0.58,0.1655,465.0
F,1.0735,265.0,479.0,0.58,0.2735,455.0
M,1.13,315.0,458.0,0.63,0.2765,0.49
F,1719.0,0.47,0.68,0.69,299.0,0.56
F,1566.0,415.0,0.6645,0.65,0.3455,545.0
F,1.7605,0.5,692.0,0.66,0.3265,565.0
F,1787.0,0.6,585.0,0.68,453.0,0.58
F,1.31,0.42,0.5095,0.7,314.0,575.0
M,1343.0,0.4,0.4635,685.0,292.0,0.52
F,1.7345,605.0,0.6845,675.0,0.3695,545.0
M,1.1775,285.0,0.4935,0.63,0.3365,0.49
F,1077.0,0.25,0.4995,585.0,0.2875,0.45
M,995.0,0.37,0.3895,565.0,183.0,465.0
F,1.1085,0.33,0.3705,0.61,0.3135,495.0
M,1.1405,385.0,0.3755,605.0,0.2805,0.47
M,791.0,0.25,0.33,535.0,189.0,0.42
M,663.0,0.2,313.0,485.0,137.0,0.4
M,0.5565,195.0,226.0,0.47,122.0,375.0
M,0.8445,235.0,373.0,545.0,0.21,425.0
F,0.4925,135.0,216.0,455.0,0.1245,0.37
M,0.7385,215.0,0.3515,0.54,152.0,0.42
M,482.0,145.0,207.0,0.46,0.1225,0.38
M,609.0,0.22,239.0,0.49,0.1435,0.42
I,471.0,0.14,222.0,465.0,119.0,375.0
I,0.3215,105.0,0.1535,415.0,0.0595,325.0
M,593.0,0.18,277.0,475.0,115.0,375.0
F,0.5615,0.18,252.0,0.47,137.0,375.0
I,0.25,0.08,0.1075,365.0,0.0545,295.0
I,0.1995,0.07,0.0755,345.0,0.0535,275.0
I,302.0,115.0,116.0,0.39,64.0,0.31
F,0.7155,0.24,0.3165,0.5,176.0,395.0
M,0.5865,185.0,0.2385,0.47,144.0,0.38
M,0.6765,0.26,256.0,535.0,139.0,0.44
M,987.0,0.31,0.4355,585.0,0.2075,455.0
F,0.5885,175.0,0.27,485.0,131.0,365.0
M,0.7225,235.0,295.0,515.0,0.1625,455.0
F,0.4335,155.0,178.0,435.0,0.0985,325.0
F,0.6935,0.2,0.3115,515.0,152.0,415.0
I,365.0,0.11,0.1655,0.44,83.0,345.0
F,0.8425,0.24,0.3685,525.0,0.1985,0.44
M,479.0,0.15,0.2125,0.45,0.1045,355.0
M,911.0,0.29,0.39,0.59,182.0,485.0
M,915.0,285.0,0.4,555.0,246.0,0.45
M,827.0,235.0,0.3395,0.57,0.2215,0.44
M,1.1045,0.34,0.4565,0.59,0.2425,0.5
M,945.0,0.28,0.41,585.0,0.2115,475.0
F,0.9935,0.28,0.4625,0.58,0.2385,0.46
M,0.8565,0.24,0.3475,545.0,0.1715,0.44
F,1.2385,0.39,528.0,605.0,0.2465,495.0
F,1.0325,0.36,0.3605,0.62,224.0,0.47
F,1.3135,0.4,0.5595,0.63,267.0,0.5
M,1352.0,0.45,488.0,0.63,349.0,515.0
F,1005.0,0.36,367.0,0.63,199.0,0.5
M,625.0,235.0,223.0,545.0,0.16,0.41
F,1.5015,505.0,518.0,0.67,358.0,0.54
I,529.0,155.0,0.2165,0.49,139.0,0.38
F,0.5785,0.2,0.2465,0.49,123.0,0.39
I,101.0,35.0,36.0,0.29,0.0235,225.0
I,92.0,0.03,37.0,0.26,0.02,0.2
M,1068.0,0.32,425.0,0.58,203.0,0.45
F,1.0915,0.33,0.3935,0.61,0.2435,485.0
M,1015.0,0.33,0.3995,0.6,0.1735,0.5
F,943.0,375.0,344.0,0.56,129.0,455.0
F,1.0475,385.0,0.3775,575.0,0.1705,0.45
F,0.9555,295.0,0.38,0.57,0.1665,0.45
M,1036.0,325.0,0.4375,0.6,196.0,0.47
M,0.9065,0.32,342.0,565.0,156.0,455.0
M,0.7505,255.0,0.2475,545.0,0.13,0.42
I,366.0,0.12,122.0,0.44,0.0905,345.0
M,662.0,0.22,0.2815,0.5,137.0,0.41
I,217.0,0.09,84.0,0.36,0.0435,275.0
I,252.0,0.09,0.0915,385.0,55.0,305.0
M,0.3055,85.0,143.0,0.39,0.0645,0.3
M,0.6885,0.25,249.0,0.5,138.0,415.0
I,0.2335,85.0,95.0,0.36,0.0525,275.0
I,192.0,0.07,0.0785,335.0,0.0585,0.26
F,0.85,285.0,275.0,505.0,0.1625,425.0
I,0.2715,85.0,134.0,395.0,0.0325,295.0
F,0.3635,0.12,159.0,0.41,77.0,325.0
F,714.0,275.0,283.0,0.56,129.0,455.0
M,0.9815,0.39,329.0,565.0,136.0,435.0
M,0.9265,375.0,354.0,565.0,0.1575,455.0
M,1098.0,375.0,0.4765,605.0,232.0,0.5
F,0.8205,0.26,365.0,565.0,159.0,455.0
M,1891.0,0.58,0.6975,725.0,0.4725,565.0
F,1.41,0.42,592.0,675.0,0.3175,535.0
F,1.4385,0.36,581.0,665.0,354.0,555.0
F,0.9245,255.0,405.0,565.0,0.2195,0.49
F,1.2915,0.33,0.57,645.0,0.3045,0.55
M,0.8375,0.24,0.3485,575.0,0.1735,0.47
F,1221.0,0.39,0.51,0.64,259.0,0.54
I,199.0,0.08,0.0695,0.36,45.0,0.28
I,0.2965,0.0995,123.0,415.0,57.0,0.31
F,0.7085,235.0,293.0,525.0,0.1525,0.41
M,0.2665,75.0,115.0,0.38,61.0,285.0
F,0.9915,265.0,0.3865,585.0,224.0,465.0
I,0.0715,25.0,26.0,0.24,18.0,185.0
I,0.0545,0.02,0.0215,0.22,12.0,165.0
I,0.0735,25.0,0.0255,255.0,0.02,195.0
I,0.0235,8.0,8.0,175.0,0.0035,125.0
F,1.3905,0.4,0.5425,0.67,0.3035,0.55
M,1388.0,0.41,567.0,655.0,0.2735,0.53
F,1.7445,625.0,0.5975,0.68,305.0,0.55
M,1.4385,465.0,545.0,675.0,0.2665,555.0
F,0.7835,0.2185,313.0,0.53,0.1715,0.44
F,646.0,177.0,0.2895,515.0,0.1405,405.0
I,0.3575,0.1045,151.0,0.43,0.0645,0.34
F,627.0,181.0,0.2645,0.52,0.1415,405.0
F,0.7715,0.2765,272.0,545.0,0.1455,415.0
M,0.7395,0.2645,261.0,0.53,0.1395,415.0
F,421.0,0.1345,0.1565,465.0,91.0,0.35
M,1347.0,415.0,0.4955,665.0,254.0,0.54
M,1756.0,0.58,637.0,735.0,0.3405,0.59
M,1.32,455.0,0.5305,0.66,0.2635,545.0
F,1.8075,475.0,0.7055,0.7,0.3215,585.0
M,0.9325,0.3,0.3605,575.0,0.2445,0.4
M,849.0,0.24,0.3785,0.57,0.1765,465.0
F,0.9955,0.26,429.0,0.58,212.0,0.46
M,1.0115,305.0,0.4235,0.63,237.0,0.48
F,908.0,315.0,381.0,585.0,0.1615,465.0
M,0.92,0.29,378.0,0.55,0.2385,0.45
F,1.2415,0.36,0.5235,625.0,0.3065,515.0
M,0.8075,235.0,0.3485,0.54,0.1795,0.42
F,1.0595,285.0,0.44,0.57,0.2195,455.0
M,1073.0,285.0,475.0,0.59,0.19,455.0
M,921.0,0.29,357.0,0.58,181.0,0.46
F,1.2895,0.41,0.5345,655.0,0.2855,0.51
M,1.2635,415.0,486.0,655.0,0.2635,0.53
M,1369.0,0.37,0.5875,625.0,0.2185,0.5
F,953.0,305.0,0.3445,625.0,0.2235,0.5
F,1248.0,0.48,0.4245,0.64,0.2595,0.52
F,1.0105,0.3,435.0,605.0,209.0,485.0
F,1.0385,345.0,427.0,615.0,0.2315,525.0
M,874.0,305.0,0.3275,555.0,202.0,0.45
F,854.0,245.0,0.3665,0.58,0.1635,0.44
F,1.1835,395.0,378.0,0.62,0.27,0.52
F,1115.0,0.36,378.0,0.62,0.2145,0.47
F,1129.0,0.36,0.4385,0.6,256.0,505.0
F,1.1745,0.42,0.4385,625.0,0.2305,485.0
