A,E,H,F,B,G,D,I
F,0.3455,0.11,0.1405,415.0,0.0765,115.0,9
M,0.5205,185.0,0.2015,465.0,0.1625,0.12,11
M,0.4935,0.17,186.0,0.46,0.0845,135.0,12
M,0.3245,115.0,0.1305,415.0,0.0735,0.09,8
M,106.0,36.0,0.0465,0.27,18.0,0.07,7
M,0.4415,0.1505,0.1805,445.0,0.1035,0.11,10
F,1966.0,0.5855,0.8435,745.0,437.0,0.19,18
F,0.3025,0.0935,0.1335,0.4,0.0465,115.0,8
I,0.1225,35.0,0.0545,0.28,0.0115,75.0,5
M,879.0,265.0,368.0,0.55,0.2095,135.0,10
M,1.2275,435.0,473.0,0.58,0.1965,165.0,16
M,1.2715,0.49,0.4915,0.61,185.0,165.0,12
M,1806.0,725.0,643.0,0.62,0.3285,175.0,17
M,0.8085,285.0,0.3025,0.56,0.1795,195.0,14
F,1.3905,0.41,0.61,0.64,0.3315,0.2,12
M,1.8465,0.57,732.0,0.69,472.0,0.2,19
F,2.1995,885.0,0.7245,715.0,465.0,0.24,17
F,1817.0,0.49,785.0,0.71,492.0,195.0,11
F,897.0,0.29,377.0,0.55,184.0,0.15,9
M,0.3245,95.0,0.1395,375.0,0.0565,0.09,5
F,1136.0,0.3,414.0,0.61,311.0,0.16,9
I,0.2735,85.0,115.0,0.38,61.0,85.0,6
F,0.2405,0.07,104.0,0.37,0.0535,85.0,5
M,0.1545,45.0,66.0,335.0,0.0345,85.0,6
I,0.0145,5.0,0.0055,165.0,3.0,15.0,4
M,0.1185,0.04,55.0,285.0,0.0285,75.0,7
I,0.0295,0.01,0.0155,0.19,15.0,0.03,6
I,0.0385,0.01,0.0115,215.0,5.0,0.03,5
M,799.0,0.23,0.3245,595.0,0.2,125.0,10
F,1.1845,355.0,0.4805,645.0,274.0,0.17,13
M,925.0,0.35,342.0,575.0,197.0,185.0,12
F,1098.0,405.0,414.0,0.57,187.0,0.17,20
F,1071.0,395.0,0.3,0.58,206.0,235.0,14
F,975.0,0.34,358.0,595.0,0.2035,0.2,15
F,1283.0,445.0,462.0,595.0,0.2475,0.25,14
F,1.0595,445.0,358.0,625.0,165.0,165.0,21
M,0.9195,0.26,0.3355,535.0,0.1985,165.0,16
M,0.9295,355.0,317.0,0.55,0.1735,0.16,13
M,0.8085,0.35,0.2345,495.0,0.1155,155.0,6
I,0.1485,45.0,64.0,0.32,31.0,0.08,6
M,0.4475,0.13,193.0,445.0,0.1035,0.12,9
F,0.6865,185.0,295.0,0.52,0.1715,125.0,9
M,0.6335,0.26,0.2,495.0,0.1225,135.0,14
M,547.0,0.17,222.0,0.47,0.1325,135.0,12
F,585.0,195.0,243.0,0.49,115.0,0.14,10
M,927.0,315.0,0.3215,0.58,0.1985,165.0,11
M,1.4935,455.0,0.5265,645.0,0.2785,185.0,15
F,1.0405,0.3,419.0,575.0,264.0,165.0,14
I,0.0605,0.02,0.0205,215.0,14.0,55.0,6
I,0.3675,0.12,0.1355,0.43,0.0935,0.11,13
I,99.0,45.0,37.0,0.26,0.0255,0.08,5
I,233.0,0.07,0.0905,0.37,0.0545,0.09,11
I,0.3625,125.0,0.1565,405.0,0.0705,105.0,10
I,81.0,0.03,0.0265,0.27,0.0195,0.08,6
F,1596.0,585.0,525.0,0.68,0.4075,0.2,21
F,1.4005,0.44,0.5195,0.65,0.36,195.0,13
F,1406.0,0.51,0.4265,645.0,0.2285,215.0,25
M,0.9245,295.0,0.3445,0.57,0.2185,0.16,19
M,1.36,0.47,0.5305,615.0,0.2375,0.19,18
M,0.43,0.13,175.0,0.42,96.0,105.0,7
I,0.1365,42.0,0.0565,275.0,0.0285,0.08,6
F,0.14,0.04,0.0515,0.29,0.0235,75.0,5
M,0.4215,135.0,175.0,0.42,93.0,115.0,8
F,1.5765,665.0,0.5115,625.0,0.2595,215.0,16
F,1.2125,525.0,0.3245,0.55,205.0,0.18,27
M,1.6305,0.61,0.4865,0.66,297.0,0.2,18
M,1142.0,0.35,387.0,565.0,258.0,195.0,17
F,1366.0,0.52,0.5065,595.0,219.0,235.0,13
M,1539.0,0.57,0.5635,0.63,0.2815,0.23,17
F,445.0,155.0,165.0,0.43,0.0995,0.12,8
F,0.5725,175.0,0.1965,455.0,0.1325,0.14,10
I,0.19,65.0,0.0765,0.33,0.0385,0.08,7
F,764.0,0.25,276.0,515.0,196.0,0.13,13
M,853.0,0.27,0.3285,495.0,189.0,0.15,14
F,0.5885,0.19,0.2385,485.0,0.1155,145.0,13
F,0.7875,0.2,0.3395,535.0,0.2005,145.0,8
M,1035.0,385.0,401.0,0.58,0.1865,175.0,17
F,1352.0,0.53,0.4505,625.0,0.2445,195.0,13
F,958.0,0.39,296.0,555.0,195.0,0.18,14
F,797.0,265.0,297.0,0.55,0.15,145.0,9
M,857.0,0.28,356.0,0.59,174.0,155.0,13
I,0.2235,0.08,0.0815,355.0,0.0525,0.11,7
I,86.0,0.03,0.0305,275.0,19.0,75.0,7
F,692.0,215.0,267.0,505.0,0.15,175.0,12
M,0.2225,75.0,0.0805,0.37,51.0,95.0,7
M,0.7575,275.0,0.2735,555.0,0.1635,165.0,13
F,729.0,0.25,0.2675,505.0,155.0,165.0,9
F,903.0,295.0,0.3575,0.56,0.2045,0.18,9
M,1.0965,0.35,419.0,595.0,229.0,0.17,17
F,903.0,295.0,0.3305,0.57,0.1845,165.0,14
M,1229.0,415.0,0.4125,0.6,0.2735,175.0,13
F,1106.0,0.33,422.0,0.56,0.2435,185.0,15
M,1171.0,0.4,0.3905,585.0,0.2355,0.19,17
I,444.0,0.11,225.0,0.46,0.0745,0.11,8
F,0.4755,0.16,0.2105,0.46,105.0,115.0,8
M,388.0,125.0,68.0,415.0,0.09,125.0,12
F,0.3785,125.0,152.0,435.0,0.0915,0.12,11
F,486.0,185.0,0.1735,475.0,0.07,135.0,7
M,0.5265,165.0,0.2105,465.0,0.1185,0.13,10
I,0.2275,85.0,0.0935,355.0,0.0455,0.1,11
M,0.5105,205.0,192.0,0.46,0.1045,0.14,9
F,0.3105,105.0,0.12,0.38,74.0,0.11,10
F,543.0,0.15,0.2295,0.47,0.1495,0.12,9
M,0.2225,75.0,83.0,0.36,53.0,0.09,6
F,998.0,315.0,345.0,585.0,0.2495,165.0,12
M,1.5455,415.0,654.0,655.0,0.3765,0.2,11
M,1.2675,0.38,0.4995,0.6,0.2815,175.0,13
F,1.1,0.38,0.4125,0.57,0.2205,0.17,14
F,1.4285,0.36,639.0,645.0,305.0,0.2,11
M,1793.0,0.53,0.8005,0.65,339.0,0.18,14
M,0.6185,0.24,216.0,0.51,0.1385,145.0,12
M,0.5825,175.0,0.2505,0.52,0.1565,135.0,8
M,0.7485,285.0,264.0,495.0,134.0,165.0,13
M,406.0,135.0,166.0,0.43,0.0935,115.0,8
F,1.1005,295.0,506.0,0.59,0.2525,0.16,13
M,869.0,0.32,0.3155,0.55,0.1825,175.0,10
M,955.0,0.27,0.3625,585.0,176.0,0.16,11
F,0.9215,0.3,312.0,0.58,196.0,0.16,17
F,1456.0,0.32,581.0,0.62,0.2875,0.15,13
I,893.0,345.0,0.2745,0.59,0.2185,0.16,14
F,2226.0,0.62,0.8955,0.72,405.0,215.0,13
F,1.2125,0.36,0.5735,635.0,261.0,175.0,14
F,1.0675,0.42,391.0,0.61,216.0,175.0,15
F,0.8525,295.0,0.3465,545.0,189.0,175.0,13
M,0.8615,255.0,0.3725,0.57,0.2175,0.16,12
F,1162.0,0.32,511.0,0.6,0.2675,0.18,18
F,0.8705,0.25,0.3735,0.52,219.0,0.17,14
M,1598.0,0.58,0.6535,635.0,0.2835,0.21,15
F,1406.0,0.37,519.0,0.67,348.0,0.15,13
M,2033.0,685.0,751.0,695.0,0.4255,0.2,15
M,1259.0,445.0,487.0,655.0,0.2215,185.0,20
F,1.0935,355.0,403.0,0.62,245.0,0.23,14
F,1.1805,425.0,0.4345,0.6,0.2475,0.18,19
M,0.7175,0.17,0.3725,0.51,158.0,0.13,9
M,0.7575,195.0,0.3305,525.0,216.0,135.0,10
M,487.0,155.0,226.0,0.44,0.0965,0.13,9
I,0.5705,185.0,0.25,485.0,134.0,0.14,8
F,0.6905,175.0,0.3125,495.0,179.0,0.13,10
I,0.4475,125.0,221.0,435.0,112.0,0.12,7
I,347.0,0.1,0.1605,405.0,0.0785,105.0,9
I,352.0,0.1,0.1635,0.42,89.0,0.1,9
F,0.7145,195.0,0.3235,0.5,173.0,0.15,9
F,0.3315,0.1,0.1365,385.0,0.0745,105.0,7
I,0.18,0.06,68.0,0.33,36.0,0.09,6
F,974.0,285.0,0.4305,0.58,0.23,155.0,10
I,185.0,65.0,0.08,325.0,0.0435,0.1,6
M,563.0,185.0,0.2525,475.0,0.1205,0.12,10
F,0.3215,95.0,0.1545,0.38,75.0,0.09,9
I,179.0,55.0,76.0,0.34,0.0525,0.09,6
M,702.0,0.22,0.3335,525.0,0.1465,0.12,12
F,0.8045,285.0,0.3325,0.52,0.1725,145.0,10
F,0.8075,0.25,322.0,535.0,181.0,135.0,13
M,578.0,0.17,0.2825,475.0,0.12,0.12,8
I,385.0,125.0,167.0,415.0,0.08,0.1,7
I,585.0,165.0,0.2755,495.0,0.1235,125.0,8
F,0.6375,0.21,277.0,0.48,0.1445,0.13,10
F,813.0,0.23,385.0,0.52,0.2015,0.15,10
M,0.5735,195.0,0.2505,0.46,119.0,0.13,9
F,0.94,265.0,399.0,0.58,257.0,0.12,11
M,1008.0,285.0,422.0,0.59,0.2245,135.0,11
F,775.0,0.26,302.0,0.55,179.0,135.0,23
F,1.1445,365.0,485.0,0.65,218.0,165.0,12
F,0.6,0.23,0.2225,465.0,129.0,135.0,16
M,515.0,175.0,0.2,455.0,0.1275,0.13,11
M,0.5795,195.0,0.2145,0.47,164.0,0.13,13
F,384.0,125.0,143.0,435.0,0.1005,0.11,13
M,0.2965,85.0,0.1365,0.35,63.0,0.11,7
I,137.0,0.04,0.0545,315.0,0.0315,0.07,8
M,991.0,0.34,0.4035,595.0,0.1505,145.0,16
F,925.0,275.0,391.0,0.58,165.0,135.0,14
M,805.0,0.27,293.0,575.0,0.1625,0.15,17
M,0.8915,0.25,0.3415,535.0,177.0,155.0,13
M,769.0,0.29,0.2505,515.0,154.0,0.14,13
F,0.6185,0.2,251.0,505.0,0.1175,135.0,12
F,0.6515,205.0,0.2695,505.0,153.0,145.0,15
I,0.2875,95.0,0.1145,0.4,0.0635,0.1,10
M,0.5545,215.0,213.0,0.49,0.0925,135.0,14
M,0.7365,0.22,0.3275,0.53,0.1315,135.0,12
I,306.0,95.0,111.0,395.0,0.0735,105.0,8
F,1496.0,475.0,0.5775,665.0,0.2815,0.19,17
F,0.3605,0.1,0.12,415.0,82.0,105.0,10
M,0.3045,0.12,0.0925,0.43,55.0,115.0,11
M,592.0,0.2,0.2465,475.0,0.1645,135.0,13
F,0.7995,0.24,0.3345,525.0,209.0,145.0,15
I,0.5825,255.0,0.2315,0.48,121.0,145.0,15
I,0.3435,115.0,0.1515,0.42,0.0795,115.0,9
M,906.0,335.0,327.0,0.59,0.1485,155.0,15
F,0.6295,215.0,0.2815,515.0,127.0,135.0,9
M,1.5515,445.0,566.0,695.0,0.3835,0.22,13
F,2526.0,0.62,933.0,0.8,0.59,195.0,23
M,1103.0,0.36,425.0,0.61,0.2025,0.15,23
F,957.0,275.0,0.3885,565.0,215.0,175.0,18
M,0.86,245.0,0.4015,0.56,0.1695,165.0,11
M,1.62,485.0,0.6275,655.0,358.0,195.0,17
M,1407.0,455.0,566.0,0.64,304.0,0.2,17
F,0.9,0.25,355.0,0.59,0.1905,0.17,11
I,0.1455,45.0,0.0605,0.31,0.0315,0.09,7
I,75.0,25.0,28.0,255.0,18.0,0.07,6
I,0.0235,8.0,9.0,0.17,0.0055,55.0,6
M,1247.0,0.4,472.0,0.67,0.2455,0.17,21
F,1.7265,565.0,638.0,0.71,0.3365,195.0,17
F,0.8025,263.0,313.0,0.56,0.1715,125.0,13
M,764.0,0.2175,0.3035,505.0,189.0,0.13,11
M,0.8645,0.2515,376.0,525.0,0.1945,165.0,16
F,0.4715,149.0,0.2035,0.45,0.0935,105.0,9
F,631.0,216.0,0.2765,515.0,111.0,0.17,12
M,0.9455,0.27,0.3815,0.59,184.0,0.16,19
M,1.3185,0.42,548.0,0.7,233.0,0.19,18
F,1.7265,525.0,637.0,0.72,0.3415,175.0,17
M,1081.0,0.31,0.4825,635.0,242.0,0.15,11
M,0.9025,0.28,0.3805,555.0,0.2105,135.0,13
M,1.1415,0.4,0.4515,575.0,204.0,0.15,13
M,1027.0,0.25,391.0,585.0,212.0,125.0,17
F,1.3445,515.0,535.0,0.61,0.2205,0.21,20
F,1449.0,505.0,601.0,645.0,0.2565,0.2,13
F,0.7745,265.0,0.2985,545.0,0.1875,175.0,11
M,0.7895,0.25,343.0,0.55,159.0,155.0,12
F,1.3665,0.41,0.5005,0.66,291.0,205.0,18
M,1.0295,305.0,0.4635,0.57,0.1905,195.0,18
F,1031.0,0.29,392.0,0.6,0.2035,0.2,15
F,1065.0,315.0,0.4595,0.63,216.0,165.0,12
M,1885.0,0.5,0.8665,695.0,435.0,0.23,19
M,1.2425,0.48,487.0,0.65,296.0,0.16,15
F,1969.0,0.66,0.8045,0.72,423.0,225.0,16
I,0.9445,0.3,0.3545,0.56,0.2175,0.17,12
I,354.0,105.0,0.1625,0.42,64.0,115.0,8
M,23.0,0.01,0.0085,0.18,0.0055,0.05,3
F,0.3575,0.11,145.0,405.0,0.0725,0.11,12
F,0.5965,185.0,253.0,0.5,126.0,0.15,12
I,383.0,135.0,0.1555,435.0,0.0675,0.11,12
M,0.2065,0.07,0.0725,0.34,43.0,0.09,10
F,382.0,109.0,154.0,0.43,0.0955,0.11,8
I,0.6315,0.1815,0.2745,535.0,0.1415,155.0,12
I,0.3285,106.0,0.1405,415.0,51.0,115.0,12
F,0.2165,0.0735,96.0,0.36,37.0,0.09,10
M,0.0305,0.01,11.0,175.0,0.0075,0.04,5
M,24.0,0.0075,9.0,155.0,5.0,25.0,5
I,0.7365,215.0,0.3225,525.0,161.0,0.15,11
F,0.6005,0.21,0.2265,525.0,131.0,135.0,16
F,0.4285,132.0,165.0,0.44,83.0,105.0,11
F,496.0,0.14,0.1905,0.45,117.0,115.0,12
F,0.6195,177.0,0.2595,485.0,0.1445,0.14,14
I,567.0,0.1525,0.2315,0.47,0.1465,135.0,11
I,0.6505,0.2215,0.2495,515.0,141.0,0.14,10
M,0.4495,144.0,165.0,0.42,0.1125,125.0,11
F,0.4485,0.1335,0.1585,455.0,102.0,125.0,16
M,241.0,69.0,0.11,0.37,45.0,0.09,10
M,197.0,0.0605,85.0,0.33,41.0,0.09,10
I,0.1425,43.0,57.0,0.3,0.0335,0.09,7
I,1.2395,0.38,0.55,625.0,273.0,0.16,14
I,1.0385,0.32,0.4435,0.61,241.0,0.17,14
I,972.0,0.35,404.0,625.0,0.1845,155.0,14
I,1.3315,435.0,0.5805,635.0,252.0,0.19,17
I,762.0,0.19,0.3795,0.5,161.0,155.0,14
F,775.0,235.0,0.35,0.53,152.0,0.17,17
I,437.0,0.17,163.0,445.0,0.0755,0.1,13
F,0.6985,195.0,0.3,585.0,146.0,155.0,12
I,435.0,0.14,159.0,0.44,105.0,165.0,16
M,0.1295,45.0,0.0535,0.29,26.0,0.08,10
I,0.8435,0.3,309.0,555.0,0.1905,0.17,15
I,1.25,315.0,0.5265,655.0,283.0,145.0,15
F,1017.0,0.32,0.3515,0.58,0.2,185.0,10
I,1411.0,395.0,572.0,625.0,297.0,175.0,12
I,1208.0,0.33,0.4805,0.62,0.3045,0.17,15
F,1.0705,0.36,371.0,0.64,0.2705,0.15,8
F,0.5895,167.0,0.2635,505.0,0.12,115.0,10
I,537.0,0.1785,0.2165,0.5,0.1085,0.12,9
M,0.15,48.0,0.0525,0.31,34.0,95.0,7
F,651.0,0.17,0.2935,505.0,0.19,145.0,12
I,0.28,0.0955,94.0,0.42,0.0785,0.11,9
M,287.0,113.0,0.1135,0.4,37.0,105.0,10
M,0.3525,0.13,0.1135,425.0,0.0565,125.0,18
M,0.12,0.04,0.0415,0.31,33.0,0.06,11
F,494.0,155.0,0.1945,465.0,103.0,0.13,18
F,0.4765,0.16,192.0,465.0,0.1125,0.12,10
M,0.2145,0.06,0.1,0.35,0.0465,85.0,13
I,595.0,0.26,0.2105,0.52,142.0,0.16,15
F,0.4805,0.1475,0.1905,475.0,114.0,0.13,12
F,321.0,95.0,0.1255,0.41,0.0655,0.11,10
M,96.0,0.03,44.0,0.26,27.0,65.0,6
I,0.9315,0.26,358.0,575.0,0.2145,0.17,13
I,782.0,285.0,0.2715,565.0,168.0,155.0,14
M,0.0945,0.03,0.0445,0.26,0.02,75.0,6
F,0.6695,0.18,289.0,0.53,151.0,125.0,10
M,213.0,0.07,81.0,0.34,34.0,95.0,9
I,525.0,185.0,0.1775,0.52,115.0,0.14,11
F,1312.0,485.0,529.0,635.0,0.2485,0.18,18
F,1087.0,0.38,0.4255,0.61,232.0,165.0,11
F,1523.0,555.0,0.54,0.66,0.3365,0.18,16
I,1319.0,0.49,0.5485,635.0,292.0,0.18,16
F,579.0,0.22,208.0,465.0,0.1095,135.0,14
M,0.8175,0.3,0.2515,515.0,156.0,0.16,23
I,0.17,55.0,62.0,335.0,39.0,95.0,9
F,796.0,0.28,258.0,515.0,0.1755,0.17,16
F,197.0,0.06,71.0,345.0,51.0,0.1,9
M,0.5255,145.0,0.2025,465.0,135.0,125.0,13
M,879.0,255.0,339.0,0.54,208.0,0.17,10
M,0.4625,145.0,186.0,475.0,107.0,125.0,9
F,0.4565,0.14,0.1785,445.0,114.0,0.14,11
M,528.0,0.14,0.2125,0.5,149.0,0.14,9
M,0.5835,0.18,0.2295,0.5,0.1265,135.0,12
F,884.0,0.28,0.2875,0.55,0.1645,0.17,14
I,96.0,0.03,36.0,275.0,0.0185,0.08,6
F,0.1855,0.06,0.0745,0.35,0.0415,0.09,7
F,0.27,0.0835,0.1125,0.37,0.0585,105.0,9
F,463.0,145.0,186.0,0.42,0.11,125.0,10
M,198.0,0.06,0.0725,0.35,56.0,0.09,10
M,282.0,96.0,0.0975,395.0,65.0,105.0,9
I,0.0995,32.0,0.0395,325.0,0.0225,0.08,8
I,92.0,27.0,0.0385,275.0,0.0235,65.0,5
I,0.0625,22.0,23.0,235.0,14.0,65.0,6
I,73.0,0.0225,28.0,0.25,17.0,0.06,5
I,71.0,0.0225,27.0,0.25,0.0185,65.0,5
I,36.0,11.0,0.0125,0.2,8.0,0.05,4
F,1099.0,358.0,0.3975,585.0,0.2325,0.17,20
M,0.5905,0.19,0.2025,445.0,158.0,0.14,14
F,768.0,0.27,0.2625,0.5,95.0,0.13,13
M,413.0,0.13,144.0,0.44,0.1015,0.08,8
M,0.8505,315.0,312.0,515.0,146.0,0.14,17
F,0.6915,215.0,276.0,0.52,137.0,0.14,11
M,709.0,0.18,275.0,0.5,168.0,0.13,11
M,0.3755,105.0,142.0,425.0,0.1065,0.12,9
M,0.8185,235.0,0.3025,0.51,0.2155,0.14,16
F,227.0,0.07,93.0,0.37,0.0625,0.08,8
M,0.8245,0.24,272.0,0.54,226.0,0.13,13
M,1.1825,0.24,474.0,615.0,0.2895,0.17,11
M,1122.0,375.0,393.0,565.0,0.2,175.0,20
M,1.6115,385.0,0.6745,645.0,384.0,175.0,14
F,1.2985,0.32,0.5135,615.0,343.0,175.0,14
M,1.3,0.31,517.0,605.0,0.3285,145.0,14
F,1161.0,0.28,0.38,0.59,0.2455,165.0,12
M,1489.0,0.38,0.5915,645.0,312.0,155.0,18
M,1008.0,0.34,377.0,0.57,193.0,155.0,13
F,441.0,135.0,0.1525,0.47,0.1165,0.18,8
F,742.0,0.2115,0.2025,0.5,0.2005,155.0,14
F,0.7,0.24,207.0,0.52,0.1905,145.0,13
M,271.0,0.08,0.11,0.39,0.06,95.0,8
M,0.8565,0.21,0.2745,0.52,201.0,165.0,12
F,0.8975,275.0,275.0,0.54,241.0,175.0,14
M,0.6105,235.0,0.1955,0.46,107.0,135.0,14
I,0.1925,65.0,77.0,355.0,38.0,0.09,8
F,0.6635,0.2515,0.21,0.49,0.1295,145.0,13
F,1235.0,0.3065,0.5115,0.63,349.0,185.0,11
M,0.7615,204.0,246.0,0.5,195.0,145.0,14
M,592.0,0.1835,242.0,0.49,96.0,135.0,15
M,0.39,113.0,163.0,0.44,87.0,115.0,7
F,0.7565,0.3205,0.1905,515.0,0.17,165.0,10
F,0.57,187.0,167.0,475.0,118.0,145.0,11
I,0.2865,85.0,115.0,0.42,0.0735,0.1,8
M,0.2935,105.0,96.0,0.4,0.0675,0.13,9
M,567.0,225.0,174.0,0.45,0.1245,0.16,12
F,0.6245,0.17,215.0,0.52,0.2065,0.13,15
M,0.8415,285.0,0.2715,505.0,0.1775,155.0,12
M,0.7775,0.25,0.2015,495.0,0.18,0.14,15
M,989.0,355.0,0.2815,0.54,213.0,145.0,19
F,0.6905,0.2,219.0,0.48,155.0,125.0,12
F,0.2,0.07,0.0625,0.33,0.05,0.08,9
I,109.0,33.0,44.0,285.0,0.0265,0.07,5
I,127.0,0.0345,52.0,0.3,0.03,75.0,6
I,0.2885,83.0,118.0,0.31,65.0,105.0,6
I,0.18,0.0525,0.0745,0.34,0.04,75.0,6
I,144.0,44.0,59.0,375.0,0.03,75.0,7
I,0.4665,114.0,0.2285,415.0,0.1065,0.1,7
I,0.33,95.0,0.1405,415.0,0.0705,105.0,6
I,0.3625,93.0,175.0,415.0,0.0835,0.09,6
I,0.34,0.0945,0.1745,0.42,0.05,0.1,8
I,365.0,105.0,159.0,425.0,0.0825,105.0,6
M,0.5,0.1505,0.21,465.0,113.0,0.11,8
F,0.6265,175.0,259.0,465.0,0.1445,135.0,8
I,0.5555,163.0,0.25,0.47,115.0,0.11,8
F,0.6015,135.0,0.2765,0.47,0.1455,0.12,8
I,0.53,0.1625,0.2505,475.0,0.0975,0.12,10
M,0.6315,161.0,0.3445,0.48,0.1015,135.0,7
M,0.7715,211.0,0.37,0.5,0.16,0.13,8
I,0.6125,172.0,267.0,505.0,142.0,185.0,7
M,872.0,199.0,0.4625,525.0,0.1725,0.19,9
M,0.8115,0.2235,392.0,0.54,0.1455,0.12,9
M,0.8795,0.2625,387.0,545.0,0.15,0.15,11
F,983.0,0.2485,0.4475,565.0,0.2355,0.15,9
M,1145.0,325.0,0.48,0.58,277.0,0.18,11
M,1.09,292.0,0.5,0.59,0.2215,0.16,9
M,1262.0,335.0,0.5685,0.59,0.2725,0.16,9
M,1185.0,361.0,482.0,595.0,0.2015,185.0,10
F,1.4405,0.3175,0.5885,0.6,191.0,135.0,9
F,1332.0,0.35,0.6235,0.6,0.2835,155.0,8
F,1.1405,288.0,587.0,0.6,0.2175,165.0,9
M,1201.0,309.0,0.5395,605.0,275.0,175.0,10
F,1.33,0.33,0.6675,625.0,259.0,155.0,10
M,1362.0,384.0,0.5785,0.63,0.3125,185.0,10
M,1647.0,471.0,0.7225,0.64,331.0,195.0,12
F,1.4995,431.0,593.0,0.64,314.0,0.18,11
F,1.6225,513.0,0.6555,655.0,299.0,165.0,12
I,1786.0,0.4065,0.6725,0.66,0.3615,215.0,11
M,1791.0,0.54,733.0,0.66,318.0,0.2,15
F,1925.0,0.4535,713.0,675.0,358.0,205.0,13
F,1689.0,474.0,694.0,675.0,371.0,175.0,13
F,1659.0,0.4395,0.8715,0.69,0.2655,0.18,9
F,2.0475,0.6095,0.75,695.0,0.4195,0.2,14
F,1.6015,0.43,707.0,0.7,365.0,0.19,10
F,2.0165,435.0,1.0685,0.73,418.0,165.0,10
I,0.04,13.0,0.02,205.0,11.0,65.0,4
I,0.0565,16.0,24.0,225.0,13.0,0.07,4
I,64.0,0.02,0.0215,0.23,0.0135,0.05,5
I,0.0875,0.0255,0.0345,275.0,22.0,0.07,4
I,106.0,31.0,0.0415,0.28,0.0265,55.0,5
I,0.1315,0.03,66.0,0.28,24.0,0.08,5
I,126.0,35.0,0.0515,295.0,0.0275,0.07,6
I,155.0,0.0365,65.0,0.31,37.0,75.0,6
I,149.0,47.0,58.0,315.0,0.0325,0.07,7
I,185.0,0.07,0.0625,0.34,0.0395,0.07,7
I,0.2545,0.07,108.0,0.37,0.0565,0.08,6
I,237.0,0.07,115.0,0.38,0.0405,85.0,6
